star,comment
2,      Se desvincula incluso estando cerca del celular y no se vuelve a vincular en automtico lo cual es muy tedioso si no te das cuenta que no est conectado a tu cel su esttica es de 10 pero de nada sirve si lo tienes que estar vinculando cada 5 min lo ms seguro es que lo regrese    
4,        Charging it should be daily  
1,        I bought it two months ago but now its not workingwaste of money  
3,      Gradevole smartwatch con diverse funzionalit un display luminoso e piuttosto leggibile un cinturino comodo e nel complesso leggerissimo Per iniziare va alla grande    
5,        Good  
4,        For this price the watch is a really good deal Does not feel cheap at all I really like it  
5,          
5,          
3,                         
2,      Ich habe die Uhr nun seit einem dreiviertel Jahr und war bis vor kurzem echt zufrieden damit Das GPS ist enorm genau und fr den Preis kann die Uhr auch sehr viele verschiedene Sportarten aufzeichnen Was etwas schade ist ist dass Sie nicht fr alle Sportarten die sie anzeigt auch perfekt nutzbar ist die Halterung der Armbnder kann an den Ecken leicht ausbrechen hebt aber trozdem Dies war mir aber schon bei dem Kauf bewusst das die Uhr nicht die allzu teuer istWas ich aber persnlich sehr enttuscht hat war dass die Uhr vor ein paar tagen den Geist aufgegeben  hat Dies drfte bei einer normalen Nutzung nach einem Dreiviertel Jahr nicht passieren besonders nicht bei einer Marke wie Xiamoni welche eigentlich in der Preisleistung sehr gut abschneidet    
4,        For this price the watch is a really good deal Does not feel cheap at all I really like it  
1,      Pasados 4 meses de uso desde dic 2022 a marzo 2023  ahora no toma la carga aunque indique lo contrario y adems  se calienta mucho durante el proceso  parece que la batera fallo  adems el protector de los sensores se desprendi solo el adhesivo de sellado no fue de buena calidadNo cont con suerte en el control de calidad de fabrica y me toco unidad defectuosa    
3,      Me duro 5 meses y luego se estropeo La gantia ha tardao casi 1mes largo en solucionarlo y finalmente mandarme otra No me fio ya de esta pulsera y se la he regalado a un familiar que estaba buscando una Sinceramnete no iba mal pero 5 meses solo Yo estoy decepcionado por la averia y por lo que he leido no soy un caso aislado    
5,        Very good  
4,        Charging it should be daily  
5,        very good item  
5,        The Xiaomi Redmi Smart Watch 2 Lite in Black exceeded my expectations Its sleek design seamless connectivity and comprehensive features make it a fantastic smartwatch option The touch screen is responsive the fitness tracking is accurate and the battery life is impressive I highly recommend it for anyone seeking a reliable and stylish smartwatch Five stars  
1,        I cant get the watch to display notifications on android device Cannot even fully install the mi fitness wearable app The watch in itself is good to track sports activity but on of the feature I was looking for was the  notifications being displayed and this is not working  
2,      Acquisto fatto dopo che mio figlio ed un amico possessori di altri 2 smartwatch e smartband Xiaomi si sono trovati bene Utilizzo prevalente bici e nuoto Uscito per test in bici con altra smartband gi testata con misuratore kilometrico bici Al termine i km e il tempo impiegato  sono risultati corretti le calorie completamente errate molto sotto quelle realmente consumate La traccia del percorso viene evidenziata da una linea ma non viene associata e nessuna mappa per cui se vuoi rivederla successivamente non sai dove sei andato Il sonno lo ha rilevato solo fino a quando mi sono alzato per bere poi dopo essere tornato a letto per lui ero sempre sveglio nonostante avessi dormito ancora per pi di 2 ore Lalta smartband ha misurato correttamente La App per il cellulare non  tradotta bene praticamente  in inglese con alcune cose in italiano Andrebbero risolti anche alcuni problemi sulla disposizione dei parametri misuratiNon ne faccio un uso da professionista sono un amatore ma nonostante ci la smartband che possiedo da anni e che costa la met di questa nonostante abbia ovviamente alcune pecche misura decisamente meglio di questa Purtroppo una delusione volevo salire un po di livello acquistando un prodotto un po superiore ma dovr spendere di pi Peccato perch le premesse sembravano buone    
4,      Ich bin soweit zufrieden mit der Uhr manche Funktionen kann ich jedoch nicht nutzen wie fr das Produkt beschrieben Ich habe mittlerweile gnstigere Uhren mit mehr Funktionen bei Bekannten gesehen und rgere mich ein wenig ber den Preis    
1,        Perhaps its good for some one but it cant read pulse or O2 through tattoos so straigt in the trash for me  
3,      Pensavo meglio Dopo le prime cariche sembra durare molto meno una settimana circa senza Bluetooth e con solo 2 sveglie al giorno Lento nel touch Per fermare la vibrazione devi prenderlo a martellate Molto meglio i bracciali e i modelli vecchi    
1,                                
4,      goede prijs kwaliteit  duidelijk    
5,        Good for online shopping  
3,                  
2,              
2,      No se puede usar con Zepp Life  ZeppPierde la conexin varias veces y no sincroniza bienEstticamente parece guapo pero en mano es tosco y no eleganteEs mucho ms recomendable un Amazfit o una mi band de las normales descartadsimas las versiones pro de momento que tampoco usan Zepp    
4,      timo produtoTodas as funes so excelentesPorem a bateria no dura muito quando todas as funes esto ativas durando apenas 5 a 6 diasProduto vale a pena    
1,      Klockan slutade ladda efter ca 6 mnader    
3,      No mide la tensin arterial y era lo q ms me interesaba    
3,        Price is high and there is lack in features but acceptable  
4,          
5,        As always Amazon is the best place to buy Xiaomi products  
5,        Very nice looking a battery life is very good  
1,        Stopped working after three months of usage  disappointed gave as gift to cousin and had worst experience   
4,             
1,        I had to return it as the battery didnt last few hours and the watch did not have that much features like tracking cycle  
3,      Esta bien para el precio que tiene lo que no me ha gustado nada es que la batera dura menos de lo que dice  dicen unos 10 das y la realidad es que dura la mitad  por lo dems todo bien    
4,        My only concern is battery life after every recharge it hardly lasts for 5 to 6 days  
4,      Giunto nei tempi previsti Lo stile  piacevole ed  comodo da indossare Pratico il pulsante per ritornare alla home page Ha tante funzioni e monitora tanti allenamenti Tra le particolarit il monitoraggio del battito cardiaco dellossigenazione del sangue del sonno e dello stress Il display pur non essendo amoled offre una buona visibilit ma manca il sensore di luminosit Le misurazioni sono abbastanza precise confrontate con strumenti pi professionali Interessante il sensore aGPS che tramite lapp permette il tracciamento del percorso in modo assai preciso Ci sono una moltitudine di interfacce da installare e questo permette a chiunque di personalizzarlo Ha inoltre un sistema di previsione del movimento in base al quale cerca di individuare il tipo di sport che si sta facendo  leggero ed impermeabile Tra le criticit la durata non eccelsa della batteria pur avendo attivato solo il bluetooth per interfacciarlo allo smartphone e le notifiche delle chiamate e del meteo difficilmente lautonomia supera i 4 giorni di utilizzo In particolare ho notato che il sensore di movimento dotato di due impostazioni consuma parecchia batteria se impostato sul settaggio pi preciso in pratica sollevando il braccio il display si attiva Laggancio del cavo di ricarica non  posto in posizione ideale pertanto necessita di essere posizionato con precisione altrimenti si innesta male per fortuna  del tipo a calamitaSono soddisfatto del prodotto ma avrei preferito una maggiore autonomia    
1,        I cant get the watch to display notifications on android device Cannot even fully install the mi fitness wearable app The watch in itself is good to track sports activity but on of the feature I was looking for was the  notifications being displayed and this is not working  
1,        It has completely stopped working since a week and was giving me problems since 1 monthNeed to return it immediately  
1,        I bought two watches one worked and one is not working  
